Country,ISO3.Code,LAT,LON,Value.Export.1992,Value.Export.1993,Value.Export.1994,Value.Export.1995,Value.Export.1996,Value.Export.1997,Value.Export.1998,Value.Export.1999,Value.Export.2000,Value.Export.2001,Value.Export.2002,Value.Export.2003,Value.Export.2004,Value.Export.2005,Value.Export.2006,Value.Export.2007,Value.Export.2008,Value.Export.2009,Value.Export.2010,Value.Export.2011,Value.Export.2012,Value.Export.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,94376,150470,51660,230227,178431,167485,220321,160800,205448,142801,182693,284966,282271,93382,134448,321939,204532,186785,381009,354364,590643,403445
Middle Africa,AGO,-12.2915534387057,17.5029119215871,675,4005,835,845,12144,6808,10191,2047,1243,1441,3244,17993,8276,8185,1857,5224,4231,8290,9491,4966,5286,1136
Northern Africa,EGY,26.5066199997495,29.8444615131244,38262,47404,100648,116115,91841,154498,209345,202169,287862,314887,326972,243488,154088,305177,211743,294464,261861,376475,395886,489212,477600,540391
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,147068,165870,108577,190691,139287,215621,148531,218537,209570,425429,321912,144240,124944,88823,58583,95322,205354,166814,148721,145775,196347,525762
Western Africa,NGA,9.54831841820997,7.99512775408979,72660,72509,43229,86093,27282,76692,104276,73666,49865,122680,115377,122714,83178,123189,121984,122738,132284,185008,212778,176860,288992,217909
Northern America,CAN,57.7487688035733,-101.569822125212,24050824,18590945,21921623,17475943,16972273,19293783,18182149,16732294,19396569,18261298,12919969,12452035,15913503,14723235,19317915,18376638,16638264,20223961,19404016,17344980,18827575,20704460
Central America,MEX,23.9353719022448,-102.576349523987,41437,78079,215045,617396,284369,637711,402833,605328,875439,911138,965618,1194805,972686,1135549,1318237,1434175,2313701,2030320,1430146,1967842,1809988,1905354
Caribbean,CUB,21.6317515410252,-78.9606849097026,50202,46906,48437,55422,47965,64956,78607,75299,64746,66521,65032,84342,81250,87110,79469,99538,64839,65630,68244,55755,62039,72896
South America,BRA,-10.8067736434989,-53.0543400357671,6326570,6102731,5766165,7603440,4194144,10261293,11614644,9609977,11778419,11557379,9510697,6785436,12004955,11691170,11347731,11655578,12138818,9066671,9416402,14204088,18389722,5747515
Central Asia,UZB,41.7486026646522,63.2036395282317,2898821,4663385,2309408,2702551,2175173,3169617,2804712,3453013,5404690,3259315,4345903,5834075,3592730,3176779,5670574,8097982,7286585,6200678,8165366,5503780,10382308,7578003
Eastern Asia,JPN,36.019075365944,136.881947315984,429865,466520,473326,499156,461725,430579,420421,507953,490799,493226,474616,470391,459125,446030,447056,414862,329627,338865,359517,355735,365905,361901
Southern Asia,IRN,32.5189173176254,54.2854514968914,1311,1263,76308,1544,3656,220434,144700,134870,98936,90667,62551,81869,79002,206882,369068,859916,485997,327816,1246919,805568,755105,473660
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,264953,253165,369829,462635,462921,286469,313634,408516,423794,457597,530212,540819,608163,691431,647346,674722,680889,646220,788656,835295,846163,934067
Western Asia,IRQ,33.0368223410367,43.7569114187134,5768769,2861135,2939599,2040883,1659059,1794833,2141836,2827496,2984632,2055337,1201044,2066450,2562038,4168933,3421844,2751605,2880186,4025211,5621229,4356320,4987380,5751445
Eastern Europe,POL,52.1482602193319,19.3110143084487,3265758,742865,2981271,8127954,4133887,3472253,6992755,8444292,2960916,5944086,12729868,4475881,5214462,12074536,12026926,5595393,16415641,24793967,15566546,13608574,20135586,25291572
Northern Europe,GBR,53.8833587148482,-2.65799297938563,6164556,6091152,5936670,5341505,5981319,7078249,7238688,5593907,6057345,5010699,4455165,7088892,5104719,6086644,5350016,5553112,7478189,8592067,9396838,6899333,8080620,6821711
Southern Europe,ITA,43.472476107586,12.2194764873985,6541290,5431316,5895140,4507636,5802113,5701624,5024847,4857711,5621494,5854579,6905924,5688421,5240616,5330900,5835464,6007871,5451387,6140124,6493780,6610285,6754086,7738495
Western Europe,NLD,52.2987003744418,5.5122171009654,29882234,30182147,25818734,27291857,26640354,26757179,26472841,31743714,31038981,28873071,27506826,28868424,27104588,29064886,31721678,28248806,32522309,35702023,39450361,35627916,32742985,37267726
Oceania,NZL,-43.9858177329728,170.513011374997,8241660,9633673,12878920,7962220,14843695,19706864,15630810,17005937,18143549,15986261,15179044,9906719,18992322,14439265,15493615,7256799,8739377,15344015,16263110,17888318,23808161,18278268
Russian Federation,RUS,61.6925647074082,99.2165267869251,4295,8369,931936,275975,441242,625576,1662981,857679,682976,1903401,10476685,8040568,4942986,10728699,10068061,14941266,12472566,17460969,12159567,16209044,16515168,14243438
India,IND,22.9250064074085,79.5937037632538,39388,6474,95808,1148881,1965690,33835,11743,6704,1166531,3015502,4287559,4855829,2201965,866704,162184,127507,162951,146065,158049,784406,5040254,7168316
Pakistan,PAK,29.9734600255474,69.4139980631813,3002,4081,7510,3714,7620,5266,9407,8728,61094,835372,1279711,1611693,393864,823993,566976,1079371,346304,159741,28364,3576912,1253289,946011
United States of America,USA,39.5015541259931,-99.0602406280213,35595160,37619067,32609412,34584048,32294182,26948128,28341454,30341553,29453309,27402431,26763087,28755698,34624133,31054577,27702281,37132771,31500876,23302835,29088540,34368824,27304929,34691351
China,CPR,36.6094323800447,103.865365256658,437770,604775,600890,620925,1045206,956881,547217,393113,488293,1031902,1328037,2910596,1559050,1105748,2046292,3759389,773560,672198,725198,821874,812103,713217

