Country,ISO3.Code,LAT,LON,Value.Processing.1992,Value.Processing.1993,Value.Processing.1994,Value.Processing.1995,Value.Processing.1996,Value.Processing.1997,Value.Processing.1998,Value.Processing.1999,Value.Processing.2000,Value.Processing.2001,Value.Processing.2002,Value.Processing.2003,Value.Processing.2004,Value.Processing.2005,Value.Processing.2006,Value.Processing.2007,Value.Processing.2008,Value.Processing.2009,Value.Processing.2010,Value.Processing.2011,Value.Processing.2012,Value.Processing.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,91,735,164,268,271,265,267,269,102,267,265,689,677,4820,986,995,2854,683,668,669,667,671
Middle Africa,AGO,-12.2915534387057,17.5029119215871,0,0,1,0,0,-1,0,0,0,0,1,0,-1,0,1,-1,0,-1,0,-1,1,0
Northern Africa,EGY,26.5066199997495,29.8444615131244,0,1,1,0,0,1,-2,0,-1,-1,-2,1,-1,-1,2,3,-1,1,2,1,1,2
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,2641,2772,3678,2756,296,268,1183,954,1045,1055,921,633,934,738,1623,1308,553,396,456,35,26,19
Western Africa,NGA,9.54831841820997,7.99512775408979,-1,3,0,0,-1,0,-3,-1,1,1,0,0,0,-1,0,1,0,0,0,-1,28518,33964
Northern America,CAN,57.7487688035733,-101.569822125212,0,0,0,0,0,0,19910,21808,23386,12134,11990,15288,15997,16157,15326,13469,6646,0,0,0,0,0
Central America,MEX,23.9353719022448,-102.576349523987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,0,0,0,0
Caribbean,CUB,21.6317515410252,-78.9606849097026,-1,1,0,0,0,0,0,0,0,-1,1,0,-1,-1,0,0,0,0,1,-1,0,0
South America,BRA,-10.8067736434989,-53.0543400357671,545,1369,655,782,745,873,949,647,383,620,574,499,1530,1406,1503,1566,1611,1544,1497,2880,3832,3038
Central Asia,UZB,41.7486026646522,63.2036395282317,853651,684081,184092,202234,208084,293286,240987,148000,178000,180818,206013,242000,284065,343981,367173,392213,408700,441555,451100,453122,444688,503794
Eastern Asia,JPN,36.019075365944,136.881947315984,231474,212173,201288,201050,199174,198873,198960,199274,189806,185183,188639,182698,179799,172499,173779,173495,173641,177796,173987,172101,173948,173940
Southern Asia,IRN,32.5189173176254,54.2854514968914,-3,1,-1,0,2,-1,0,-2,1,-1,0,1,2,2,2,-1,-1,0,1,1,-2,-1
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,34733,33949,43284,46353,46055,44199,44261,47080,45758,46219,51407,57597,61424,62262,64675,60522,59993,54026,62659,50905,65422,68967
Western Asia,IRQ,33.0368223410367,43.7569114187134,1281,1826,1828,8280,8279,11010,6508,16991,17008,9826,58653,65785,86237,172215,258129,519851,358677,347985,307439,297205,299749,359528
Eastern Europe,POL,52.1482602193319,19.3110143084487,497900,335001,404083,397302,353509,277380,222938,319161,262580,242965,256655,247840,480310,438697,431465,515041,497117,455958,626186,658909,743780,1041570
Northern Europe,GBR,53.8833587148482,-2.65799297938563,577781,571938,646394,569893,774010,908394,731829,661443,757756,695471,828544,821028,662268,693688,740916,974327,770956,749918,685614,775582,561949,699049
Southern Europe,ITA,43.472476107586,12.2194764873985,194725,209654,225303,213741,210026,211347,210447,222947,230338,233892,227499,218195,215506,220273,208168,181541,182956,209202,203810,206011,207515,214693
Western Europe,NLD,52.2987003744418,5.5122171009654,553127,557536,576986,563902,623864,607067,1055903,1226686,1080993,1274199,1366677,1672809,1738199,2092206,2773830,1978351,1870253,2522551,2550021,2758246,3071133,3357109
Oceania,NZL,-43.9858177329728,170.513011374997,179738,195768,200563,201423,202674,207509,214411,216325,214260,214264,197084,139255,140248,142248,143762,144762,144762,159812,186157,163812,141969,142969
Russian Federation,RUS,61.6925647074082,99.2165267869251,1585000,1100000,500299,722000,500000,0,172150,919812,1387855,874419,842109,361252,1112367,715870,568940,992000,729034,965359,600009,734137,697692,953846
India,IND,22.9250064074085,79.5937037632538,-1,0,2,2,0,2,0,-1,-3,-2,1,2,3,-2,-2,-1,-2,2,-4,4,-3,-4
Pakistan,PAK,29.9734600255474,69.4139980631813,1177,1259,1314,1273,1284,1390,1411,1444,1446,1394,1416,1401,1428,1474,1585,1478,1707,790,1588,1721,5182,5167
United States of America,USA,39.5015541259931,-99.0602406280213,0,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,-1,0,-1,1
China,CPR,36.6094323800447,103.865365256658,4238,4249,4278,4410,4441,4552,4551,3653,4445,3452,5111,11060,21303,35035,35033,40184,40079,52066,128987,94805,154660,317056

