Country,ISO3.Code,LAT,LON,Value.Waste.1992,Value.Waste.1993,Value.Waste.1994,Value.Waste.1995,Value.Waste.1996,Value.Waste.1997,Value.Waste.1998,Value.Waste.1999,Value.Waste.2000,Value.Waste.2001,Value.Waste.2002,Value.Waste.2003,Value.Waste.2004,Value.Waste.2005,Value.Waste.2006,Value.Waste.2007,Value.Waste.2008,Value.Waste.2009,Value.Waste.2010,Value.Waste.2011,Value.Waste.2012,Value.Waste.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,109265,96533,103623,116962,122169,117603,131819,133700,166072,178786,180468,222710,207089,228678,221030,233160,254890,343664,329803,342540,334583,351223
Middle Africa,AGO,-12.2915534387057,17.5029119215871,19318,15246,15439,13573,13197,17907,19301,21285,28864,30206,32617,38149,50724,50161,53681,40925,44520,47524,57007,62287,68606,69931
Northern Africa,EGY,26.5066199997495,29.8444615131244,1563920,1526621,1738050,1697248,1987231,1856468,1943345,1843191,1885814,2035463,2084359,2197054,2233257,2316737,3313691,3220777,3374561,3622259,3541613,3845137,3660451,3896416
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,49535,65060,56366,58520,73179,61786,60875,67103,64870,70420,74378,61591,66800,70780,70111,71172,78206,72514,78482,75172,90492,98273
Western Africa,NGA,9.54831841820997,7.99512775408979,51769,75748,59287,55730,64486,78288,114275,102454,127604,132638,144327,137345,155261,203031,186015,178498,179100,217339,225237,228509,189436,219088
Northern America,CAN,57.7487688035733,-101.569822125212,500,0,1000,1100,26600,15800,3500,12400,8200,11000,6300,6000,38000,12000,12000,16100,26500,23400,22500,22400,13500,20700
Central America,MEX,23.9353719022448,-102.576349523987,305693,330206,211503,233534,573205,576327,499070,543230,670699,667552,555445,395901,332974,710580,781979,527573,161985,199848,418872,249055,258041,245581
Caribbean,CUB,21.6317515410252,-78.9606849097026,75704,72440,78965,73091,70200,82398,89113,87040,87546,86814,72811,73507,69910,75599,71010,72026,78250,76868,86236,84934,81412,83610
South America,BRA,-10.8067736434989,-53.0543400357671,1015233,1008419,1057620,1100461,1247282,1149276,1224874,1231354,1206207,1530526,1317891,1455708,1422995,1359268,1376689,1466525,1563148,1472716,1604288,1502682,1481879,1521249
Central Asia,UZB,41.7486026646522,63.2036395282317,1152862,782435,631968,501545,579391,635083,443848,783546,687562,866402,909650,859677,782096,881563,1046753,1154719,988565,1210202,800289,1416096,771483,999390
Eastern Asia,JPN,36.019075365944,136.881947315984,246096,238833,235510,212949,208481,206411,220548,232348,227453,277204,234676,234433,240086,215438,214497,215221,226087,234293,236018,240621,228337,232449
Southern Asia,IRN,32.5189173176254,54.2854514968914,1025092,1036060,1054741,1106545,1093824,1317727,1297800,1295307,1195990,1276727,1411007,1763405,1446636,1722968,1633154,1841018,1301794,2059216,1825980,1372344,1866018,1881537
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,59159,61608,73939,93300,89804,82544,80121,78228,99239,92188,112507,105912,123798,133159,136294,138843,133351,148211,166523,174918,191422,184131
Western Asia,IRQ,33.0368223410367,43.7569114187134,2770430,2243523,1962920,2115881,2144627,2236423,2536490,2259990,2590360,2585748,2767540,2655750,2941494,3097587,2858546,2541997,2669057,3025634,2977057,3177876,3291736,3633498
Eastern Europe,POL,52.1482602193319,19.3110143084487,2835088,3544557,3332800,2276606,1660251,1926792,1877304,1649205,1484408,1849285,1736958,1084638,1427269,1395425,1298449,1353551,1913649,1229391,1752485,1711381,1505635,1995345
Northern Europe,GBR,53.8833587148482,-2.65799297938563,422324,560542,521060,417348,643828,655756,671191,605176,660648,518043,653741,608916,685749,627266,599706,592713,676411,652901,613069,669335,595053,498519
Southern Europe,ITA,43.472476107586,12.2194764873985,611898,637452,653551,639926,575783,693037,698649,495726,529956,526713,553723,433260,576402,555220,479001,566511,697794,694795,540330,534609,492718,511637
Western Europe,NLD,52.2987003744418,5.5122171009654,582752,730102,744535,784001,866931,857515,924142,869694,947038,915004,955382,844090,1070045,1009109,1002865,921665,1091340,1151203,1145584,1085077,1121330,1203148
Oceania,NZL,-43.9858177329728,170.513011374997,162879,184226,111664,186476,258376,216525,242005,271571,250698,278409,136565,297458,256141,291321,143163,174181,250595,253562,262444,313022,322289,250617
Russian Federation,RUS,61.6925647074082,99.2165267869251,706427,626196,537300,618671,423410,313671,366565,316992,300327,374754,376218,223774,340095,308764,299072,321558,408286,383151,268300,377873,247783,399337
India,IND,22.9250064074085,79.5937037632538,1670000,1716000,1795000,1973000,1860000,2080000,1990000,2139000,2291194,2240468,2304164,2243877,2927891,2788186,3771703,3924227,4834213,4850627,4952332,5212442,5692894,5611298
Pakistan,PAK,29.9734600255474,69.4139980631813,471000,404000,380000,425000,423000,416000,467000,446000,553170,479321,462342,483280,490194,575524,552330,585766,569476,678391,585121,630891,586825,615448
United States of America,USA,39.5015541259931,-99.0602406280213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,CPR,36.6094323800447,103.865365256658,8017882,7149261,7247073,7258236,6787639,7136125,6574534,6301615,5624432,4277290,4033437,3869846,3657311,3802760,2681629,2525787,2927265,2866281,2867606,3012197,2995358,3010303

